Image,Name,Description,Ingredients,Energy / Health,Buff(s),Buff Duration,Recipe Source(s),Sell Price
,Fried Egg,Sunny-side up.,['Egg (1)'],"50 Energy, 22 Health",,,['Starter'],35g
,Omelet,It's super fluffy.,"['Egg (1)', ' Milk (1)']","100 Energy, 45 Health",,,"['The Queen of Sauce 28 Spring,', 'Stardrop Saloon for 100g']",
,Salad,A healthy garden salad.,"['Leek (1)', ' Dandelion (1)', ' Vinegar (1)']","113 Energy, 50 Health",,,['Emily (Mail - 3+ )'],110g
,Cheese Cauliflower,It smells great!,"['Cauliflower (1)', ' Cheese (1)']","138 Energy, 62 Health",,,['Pam (Mail - 3+ )'],300g
,Baked Fish,Baked fish on a bed of herbs.,"['Sunfish (1)', ' Bream (1)', ' Wheat Flour (1)']","75 Energy, 33 Health",,,"['The Queen of Sauce 7 Summer,']",
,Parsnip Soup,It's fresh and hearty.,"['Parsnip (1)', ' Milk (1)', ' Vinegar (1)']","85 Energy, 38 Health",,,['Caroline (Mail -                    3+ )'],120g
,Vegetable Medley,This is very nutritious.,"['Tomato (1)', ' Beet (1)']","165 Energy, 74 Health",,,['Caroline (Mail -                    7+ )'],120g
,Complete Breakfast,You'll feel ready to take on the world!,"['Fried Egg (1)', ' Milk (1)', ' Hashbrowns (1)', ' Pancakes (1)']","200 Energy, 90 Health","['Farming (+2)', ' Max Energy (+50)']",7m,"['The Queen of Sauce 21 Spring,']",
,Fried Calamari,It's so chewy.,"['Squid (1)', ' Wheat Flour (1)', ' Oil (1)']","80 Energy, 36 Health",,,['Jodi (Mail - 3+ )'],150g
,Strange Bun,What's inside?,"['Wheat Flour (1)', ' Periwinkle (1)', ' Void Mayonnaise (1)']","100 Energy, 45 Health",,,['Shane (Mail - 7+ )'],225g
,Lucky Lunch,A special little meal.,"['Sea Cucumber (1)', ' Tortilla (1)', ' Blue Jazz (1)']","100 Energy, 45 Health",['Luck (+3)'],11m 11s,"['The Queen of Sauce 28 Spring,']",
,Fried Mushroom,Earthy and aromatic.,"['Common Mushroom (1)', ' Morel (1)', ' Oil (1)']","135 Energy, 60 Health",['Attack (+2)'],7m,['Demetrius (Mail - 3+ )'],200g
,Pizza,It's popular for all the right reasons.,"['Wheat Flour (1)', ' Tomato (1)', ' Cheese (1)']","150 Energy, 67 Health",,,"['The Queen of Sauce 7 Spring,', 'Stardrop Saloon for 150g']",
,Bean Hotpot,It sure is healthy.,['Green Bean (2)'],"125 Energy, 56 Health","['Max Energy (+30)', ' Magnetism (+32)']",7m,['Clint (Mail - 7+ )'],100g
,Glazed Yams,Sweet and satisfying... The sugar gives it a hint of caramel.,"['Yam (1)', ' Sugar (1)']","200 Energy, 90 Health",,,"['The Queen of Sauce 21 Fall,']",
,Carp Surprise,It's bland and oily.,['Carp (4)'],"90 Energy, 40 Health",,,"['The Queen of Sauce 7 Summer,']",
,Hashbrowns,Crispy and golden-brown!,"['Potato (1)', ' Oil (1)']","90 Energy, 40 Health",['Farming (+1)'],5m 35s,"['The Queen of Sauce 14 Spring,', 'Stardrop Saloon for 50g']",
,Pancakes,"A double stack of fluffy, soft pancakes.","['Wheat Flour (1)', ' Egg (1)']","90 Energy, 40 Health",['Foraging (+2)'],11m 11s,"['The Queen of Sauce 14 Summer,', 'Stardrop Saloon for 100g']",
,Salmon Dinner,The lemon spritz makes it special.,"['Salmon (1)', ' Amaranth (1)', ' Kale (1)']","125 Energy, 56 Health",,,['Gus (Mail - 3+ )'],300g
,Fish Taco,It smells delicious.,"['Tuna (1)', ' Tortilla (1)', ' Red Cabbage (1)', ' Mayonnaise (1)']","165 Energy, 74 Health",['Fishing (+2)'],7m,['Linus (Mail - 7+ )'],500g
,Crispy Bass,"Wow, the breading is perfect.","['Largemouth Bass (1)', ' Wheat Flour (1)', ' Oil (1)']","90 Energy, 40 Health",['Magnetism (+64)'],7m,['Kent (Mail - 3+ )'],150g
,Pepper Poppers,Spicy breaded peppers filled with cheese.,"['Hot Pepper (1)', ' Cheese (1)']","130 Energy, 58 Health","['Farming (+2)', ' Speed (+1)']",7m,['Shane (Mail - 3+ )'],200g
,Bread,A crusty baguette.,['Wheat Flour (1)'],"50 Energy, 22 Health",,,"['The Queen of Sauce 28 Summer,', 'Stardrop Saloon for 100g']",
,Tom Kha Soup,These flavors are incredible!,"['Coconut (1)', ' Shrimp (1)', ' Common Mushroom (1)']","175 Energy, 78 Health","['Farming (+2)', ' Max Energy (+30)']",7m,['Sandy (Mail - 7+ )'],250g
,Trout Soup,Pretty salty.,"['Rainbow Trout (1)', ' Green Algae (1)']","100 Energy, 45 Health",['Fishing (+1)'],4m 39s,"['The Queen of Sauce 14 Fall,']",
,Chocolate Cake,Rich and moist with a thick fudge icing.,"['Wheat Flour (1)', ' Sugar (1)', ' Egg (1)']","150 Energy, 67 Health",,,"['The Queen of Sauce 14 Winter,']",
,Pink Cake,There's little heart candies on top.,"['Melon (1)', ' Wheat Flour (1)', ' Sugar (1)', ' Egg (1)']","250 Energy, 112 Health",,,"['The Queen of Sauce 21 Summer,']",
,Rhubarb Pie,"Mmm, tangy and sweet!","['Rhubarb (1)', ' Wheat Flour (1)', ' Sugar (1)']","215 Energy, 96 Health",,,['Marnie (Mail - 7+ )'],400g
,Cookie,Very chewy.,"['Wheat Flour (1)', ' Sugar (1)', ' Egg (1)']","90 Energy, 40 Health",,,['Evelyn (4-heart event)'],140g
,Spaghetti,An old favorite.,"['Wheat Flour (1)', ' Tomato (1)']","75 Energy, 33 Health",,,['Lewis (Mail - 3+ )'],120g
,Fried Eel,Greasy but flavorful.,"['Eel (1)', ' Oil (1)']","75 Energy, 33 Health",['Luck (+1)'],7m,['George (Mail - 3+ )'],120g
,Spicy Eel,It's really spicy! Be careful.,"['Eel (1)', ' Hot Pepper (1)']","115 Energy, 51 Health","['Luck (+1)', ' Speed (+1)']",7m,['George (Mail - 7+ )'],175g
,Sashimi,Raw fish sliced into thin pieces.,['Any Fish (1)'],"75 Energy, 33 Health",,,['Linus (Mail - 3+ )'],75g
,Maki Roll,Fish and rice wrapped in seaweed.,"['Any Fish (1)', ' Seaweed (1)', ' Rice (1)']","100 Energy, 45 Health",,,"['The Queen of Sauce 21 Summer,', 'Stardrop Saloon for 300g']",
